Price,Make,Model,Year,Mileage,Fuel_Type,Transmission,City,Seller_ID,Description
1506276,BMW,320i,2000,149194.0,Diesel,Manual,Karachi,S1520,Excellent condition
1178741,Toyota,Corolla,2007,269951.0,,Manual,Rawalpindi,S5557,Excellent condition
3212917,Audi,A3,2022,226571.0,Hybrid,Automatic,Karachi,S6635,
3093277,Suzuki,Alto,2023,245870.0,,Manual,Peshawar,S4150,
3483487,Toyota,Corolla,2021,124484.0,Hybrid,Manual,Karachi,S6820,Need minor work
2575666,BMW,X1,2022,344757.0,Petrol,,,S4598,
2280258,Suzuki,Alto,2007,21829.0,Hybrid,Automatic,Islamabad,S9179,urgent sale
1829272,BMW,X1,2004,143873.0,Diesel,Manual,,S6930,Need minor work
3674614,Honda,Accord,2015,52662.0,Petrol,Manual,Karachi,S8668,
1511409,Suzuki,Swift,2000,65058.0,,Automatic,,S5315,
3734606,Audi,A3,2016,60789.0,Hybrid,,Rawalpindi,S9689,Excellent condition
3455028,Kia,Picanto,2015,15211.0,Petrol,Automatic,Islamabad,S8962,Excellent condition
4581840,Audi,Q5,2024,70934.0,Diesel,,Peshawar,S9835,
3669414,BMW,320i,2022,168429.0,Electric,,,S6539,Excellent condition
1494665,Kia,Rio,2007,313512.0,Diesel,Manual,Lahore,S2160,
3461010,Honda,City,2021,259496.0,Diesel,,Karachi,S7669,Need minor work
3334740,Toyota,Corolla,2021,,Hybrid,Automatic,Peshawar,S1993,urgent sale
4730896,BMW,X1,2025,62288.0,Diesel,Manual,Karachi,S2235,urgent sale
2472560,Audi,Q5,2003,31522.0,,Manual,Lahore,S7570,Excellent condition
875090,Honda,City,2000,209693.0,Hybrid,Automatic,Islamabad,S8973,Need minor work
2085608,Honda,City,2006,,,,Rawalpindi,S9701,Need minor work
1915886,Toyota,Camry,2002,102425.0,Petrol,,Lahore,S1651,
2718372,Toyota,Yaris,2021,311012.0,,,Islamabad,S5915,urgent sale
330454,Suzuki,Alto,2000,245273.0,,,Lahore,S2127,Need minor work
1547720,Suzuki,Cultus,2005,234734.0,,,Islamabad,S5905,
2275413,Toyota,Corolla,2008,65517.0,Petrol,,Rawalpindi,S5325,
1336767,Hyundai,Sonata,2001,53390.0,Electric,Automatic,Lahore,S8239,
3625949,BMW,X1,2017,10069.0,Petrol,Manual,,S3088,Excellent condition
4612070,Suzuki,Cultus,2025,25916.0,Hybrid,Manual,,S3532,Need minor work
4763213,Audi,A3,2025,97826.0,Electric,Manual,Karachi,S5065,First owner
1021457,Honda,Accord,2003,205562.0,Petrol,Automatic,Karachi,S4728,Need minor work
1423133,Toyota,Camry,2006,213910.0,Hybrid,Automatic,Lahore,S6425,Excellent condition
1158570,Toyota,Yaris,2005,309396.0,Hybrid,Manual,Lahore,S9379,Excellent condition
1509038,Hyundai,i10,2006,138547.0,Petrol,,Peshawar,S4228,First owner
3240084,Hyundai,Elantra,2021,178119.0,,Automatic,,S7592,
2142324,Suzuki,Swift,2004,105579.0,Electric,,Peshawar,S1006,First owner
1982180,Suzuki,Alto,2013,309079.0,,,Islamabad,S3780,
2503410,Toyota,Yaris,2016,336843.0,,Automatic,Lahore,S1757,Need minor work
4747724,Hyundai,i10,2024,43182.0,Electric,Automatic,,S1090,Excellent condition
2418407,Audi,A4,2007,97215.0,,Automatic,Lahore,S9702,
3622295,Kia,Picanto,2024,237035.0,,,Rawalpindi,S8777,urgent sale
3378912,Suzuki,Alto,2020,,,Automatic,,S6238,
2069499,Toyota,Corolla,2004,126247.0,Electric,,Karachi,S2020,Need minor work
29824384,Audi,A4,2012,311225.0,Petrol,,Peshawar,S7865,
2199803,BMW,X3,2017,,Diesel,Automatic,Karachi,S7624,
924439,Honda,City,2004,,,Manual,Peshawar,S8564,Need minor work
2390759,Toyota,Yaris,2012,176627.0,Diesel,Automatic,Islamabad,S5133,Excellent condition
3482675,Hyundai??,elantra  ,2023,287810.0,Petrol,Automatic,Karachi,S5051,Need minor work
4037518,Audi,A3,2019,84892.0,Diesel,Manual,Peshawar,S7043,Need minor work
63301756,Kia,Rio,2023,65048.0,Diesel,Automatic,Lahore,S4249,Excellent condition
3935882,Kia,Rio,2020,132323.0,Petrol,,Islamabad,S6688,
2607501,Hyundai,i10,2011,41153.0,,,Islamabad,S8532,
1194258,Honda,City,2005,278545.0,Hybrid,,Rawalpindi,S5022,Excellent condition
1474194,Suzuki,Cultus,2007,248641.0,,,,S6813,First owner
3211117,Suzuki,Cultus,2019,149844.0,,Manual,Rawalpindi,S8800,
3513845,BMW,X1,2014,14040.0,Petrol,Automatic,Karachi,S9698,First owner
2911931,Hyundai,i10,2017,178429.0,Hybrid,,Peshawar,S9779,
1702840,Honda,Civic,2006,258859.0,Hybrid,,Rawalpindi,S4727,First owner
200000,Honda,City,2000,285040.0,Diesel,Automatic,Lahore,S9042,Excellent condition
3226881,Audi,A3,2018,,Electric,Automatic,Peshawar,S2070,urgent sale
2555130,Hyundai,Elantra,2018,335010.0,Petrol,Manual,Karachi,S7818,
1236907,Kia,Rio,2007,278978.0,Electric,Automatic,Peshawar,S2625,Need minor work
2780980,BMW,320i,2008,,Diesel,Manual,Karachi,S5771,Excellent condition
3598637,Honda,City,2022,153225.0,Electric,Manual,,S4241,urgent sale
672143,Toyota,Camry,2007,344547.0,Diesel,Automatic,Karachi,S5728,urgent sale
3864056,Toyota,yaris  ,2022,164431.0,Electric,Automatic,Rawalpindi,S6280,
1799828,Suzuki,Alto,2002,125022.0,,,Lahore,S9502,
616269,Hyundai,Sonata,2005,311881.0,Electric,,Peshawar,S3634,First owner
2976374,Hyundai,i10,2015,156109.0,Electric,,Lahore,S9431,Excellent condition
2431053,BMW,X3,2014,221660.0,Petrol,Manual,Rawalpindi,S5375,
2502808,Honda??,City,2014,259128.0,Petrol,Manual,,S7684,Excellent condition
3133109,Honda,Civic,2014,66586.0,Diesel,Automatic,,S4993,urgent sale
2538469,Kia,Sportage,2012,104934.0,,,,S9318,First owner
2265780,Audi,A3,2009,161529.0,,,,S9903,urgent sale
39594360,Hyundai,Sonata,2006,130202.0,,Automatic,Karachi,S3492,urgent sale
1932435,Toyota,Corolla,2016,314424.0,Hybrid,Manual,Peshawar,S3529,Excellent condition
1365690,Hyundai,Sonata,2010,331767.0,Electric,,Lahore,S8994,
1174334,Toyota,Camry,2002,128087.0,Hybrid,Manual,,S8269,Need minor work
1710316,BMW,X1,2000,29112.0,Hybrid,Manual,Islamabad,S3950,Need minor work
3254026,Honda,Civic,2019,205563.0,,,Karachi,S5183,
1464481,Toyota,Yaris,2009,291574.0,Diesel,Manual,Peshawar,S8484,First owner
3351810,Honda,City,2015,60917.0,Diesel,Automatic,Rawalpindi,S7484,First owner
4146531,Toyota,Camry,2021,30713.0,,,Peshawar,S4115,
4017782,Suzuki,Swift,2024,76711.0,Petrol,,,S2476,First owner
2938204,Suzuki,Swift,2013,97085.0,Diesel,Manual,Rawalpindi,S8894,First owner
4943875,BMW,X1,2025,65382.0,Electric,Manual,Karachi,S6992,Excellent condition
1148230,Audi,A4,2000,143652.0,,Manual,Peshawar,S7086,Excellent condition
3829117,BMW,320i,2015,,,,Islamabad,S5951,
1937891,Hyundai,Elantra,2004,28774.0,Petrol,Automatic,Peshawar,S9850,urgent sale
4323047,Kia,Rio,2023,86014.0,Electric,,Lahore,S4559,urgent sale
2890646,Hyundai,Elantra,2011,57090.0,Hybrid,,,S8450,Excellent condition
2528319,BMW,320i,2020,340278.0,,Manual,Lahore,S4394,
2419916,Honda,Civic,2010,82360.0,,Manual,Islamabad,S1422,Need minor work
4013990,Toyota,Yaris,2025,129744.0,,Automatic,Lahore,S2041,urgent sale
2051056,Hyundai,Sonata,2016,,Petrol,Automatic,Rawalpindi,S9543,First owner
2014975,Hyundai,i10,2000,36890.0,Electric,Automatic,Peshawar,S6277,
1789058,Honda,Civic,2004,149187.0,,,Rawalpindi,S9282,
4606036,Hyundai,Elantra,2025,64985.0,,,Karachi,S7815,
2915924,Toyota,Yaris,2013,,Hybrid,Automatic,Karachi,S2582,
4702781,BMW,X1,2025,73217.0,,Manual,Rawalpindi,S7929,
3447995,Toyota,Yaris,2019,168813.0,Hybrid,Manual,Rawalpindi,S7022,Excellent condition
3665518,Audi,A4,2018,123572.0,Electric,,Rawalpindi,S5381,Excellent condition
3475237,Honda,City,2022,166996.0,Hybrid,Automatic,Lahore,S1502,Excellent condition
1353885,BMW,X3,2006,202234.0,Electric,Automatic,Islamabad,S2391,Excellent condition
3000695,Honda,Civic,2024,328925.0,Petrol,,Lahore,S4531,
